"Parse %","Name","Amount","Active","DPS","rDPS",""
"73","Player (6)","7941202$15.92%7.94m","78.65%","1,810.7","1,713.7",""
"17","Player (8)","7390970$14.82%7.39m","70.10%","1,685.2","1,746.8",""
"73","Player (5)","7377157$14.79%7.38m","77.70%","1,682.1","1,902.2",""
"23","Player (9)","7164843$14.37%7.16m","77.48%","1,633.7","1,570.9",""
"50","Player (4)","5618941$11.27%5.62m","79.19%","1,281.2","1,245.7",""
"35","Player (10)","5292583$10.61%5.29m","80.19%","1,206.8","1,170.5",""
"50","Player (7)","4115001$8.25%4.12m","74.68%","938.3","912.4",""
"16","Player (3)","3457615$6.93%3.46m","70.57%","788.4","764.2",""
"-","Limit Break","1511532$3.03%1.51m","0.00%","344.6","344.6",""
