"Parse %","Name","Amount","Overheal","Active","HPS","rHPS",""
"66","Player (9)","16470594$41.69%16.47m","32.57%","89.39%","2,274.1","2,297.9",""
"68","Player (13)","15912630$40.28%15.91m","50.48%","80.59%","2,197.0","2,131.1",""
"50","Player (10)","2664471$6.74%2.66m","27.99%","70.20%","367.9","371.3",""
"41","Player (8)","1748252$4.43%1.75m","34.16%","59.70%","241.4","240.3",""
"-","Limit Break","970646$2.46%970.6k","21.90%","0.00%","134.0","134.0",""
"47","Player (2)","845112$2.14%845.1k","40.19%","36.41%","116.7","111.8",""
"72","Player (14)","443672$1.12%443.7k","13.10%","37.68%","61.3","60.2",""
"72","Player (11)","286619$0.73%286.6k","23.59%","38.11%","39.6","85.3",""
"14","Player (12)","162201$0.41%162.2k","-","31.62%","22.4","22.4",""
